Collection_Head,Name,Text,Year,Start,End,Loc,Page_drawer,Drawer_No,Link,Coll_head,Collection,Author_Identity,Country,Continent
"Alderman, William","Alderman, William","Alderman, William  Papers, 1853-1864  Cumberland Co., N. ¥.  Section A  4-21-62",1853-1864,1853,1864,,383,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n383,1,113,Male,Unknown,Unknown
"Aldrich, Perlsy Dunn","Aldrich, Perlsy Dunn","Aldrich, Perlsy Dunn, 1863-1933.  Letters, 1914-1922.  37 items.  Vocal teacher and author, Lived in Philadelphia, Pas  Chiefly from Leopold Stokowski, conductor of the Philadelphia Orchestra, these Letters document the development of the orchestra chorus, the Stokowski Medal, and sarly vocal recordings with the Victor Talking Machine Coe  20 JAN 88 17363906 NDHYme SEE NEXT CRD",1914-1922,1914,1922,Philadelphia,386,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n386,1,114,Male,USA,North America
"Alexander, Adam Leopold","Alexander, Adam Leopold","Alexander, Adam Leopold  Papers, 1785-1909  Washington, Wilkes Co., Georgia Cab. 81 361 items  1940",1785-1909,1785,1909,Washington,388,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n388,1,115,Male,USA,North America
"Alexander, Bettie","Alexander, Bettie","OclLe lec CHL Bs Alexander, Bettie C  Letters. 1860 - 19863. Monroe County, Virginia [now W. Va.]  Section A 9 pieces,  JUL 14 104]",1860 - 1863,1860,1863,"Monroe County, Virginia, W. Va.",403,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n403,1,116,Female,USA,North America
"Alexander, Edna Whitfield","Alexander, Edna Whitfield","Alexander, Edna(Whitfield)  FOR INFORMATION ABOUT THIS COLLECTION OR ADDITIONS TO THIS COLLECTION, PLEASE ASK A STAFF MEMBER TO CONSULT THE ACCESSION RECORDS.",1833-1985,1833,1985,,407,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n407,1,117,Female,Unknown,Unknown
"Alexander, Edward Porter","Alexander, Edward Porter","Alexander, Edward Porter  Papers, 1863-1905 Georgetown, S. C. Section A 8-4-49  item  item added, 1-17-51 item added, 4-20-65 item added, 6-2-72",1863-1905,1863,1905,,411,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n411,1,118,Male,Unknown,Unknown
"Alexander, Henry M.","Alexander, Henry M.","Alexander, Henry M.  Scrapbook, 1857-1860 New York, N. Y. 180 pp. Cloth 25 x 31 1-4 cm.  5-31-58 Genera] Se ra. bbook ‘  GUIDE",1857-1860,1857,1860,New York,417,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n417,1,120,Male,USA,North America
"Alexander, Miller","Alexander, Miller","Alexander, Miller Papers, 1850-1900  St. Louis, St. Louis Co., Mo., and v. p. in Miss. and Ky.  23 - H 211 items 6-18-57  GUIDE",1850-1900,1850,1900,"St. Louis, Mo., Miss., Ky.",423,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n423,1,122,Male,USA,North America
"Alexander, Robert P.","Alexander, Robert P.","o: M-27  86 Alexander, Robert P. «  Notes on physiology and surgery taken from the lectures of J. @\.Cabell at the University of Virginia. 1856-1857  Mecklenburg tounty, Virginia  Students’ Notebooks. NOV5 1933",1856-1857,1856,1857,Virginia,450,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n450,1,123,Male,USA,North America
Alexander Family,Alexander Family,"Alexander Family Papers, 1778-1810 Burke and Lincoln Counties, N. C.  Section A 7 items  | 1-22-62 i’ items om £504 mad  mee  et B\V\Verts",1778-1810,1778,1810,,458,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n458,1,127,Org.,Unknown,Unknown
Alexander Family,Alexander Family,"Alexander Family Papers, 1795-1870 Campbell County, Va.  Section A 36 items 7-21-59",1795-1870,1795,1870,"Campbell County, Va.",460,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n460,1,128,Org.,USA,North America
"Alford, George Benton","Alford, George Benton","Alford, George Benton  Papers, 1847-1925  Holly Springs, Wake Co., N.C. Cab. 89 24 items  6-21-63",1847-1925,1847,1925,"Alford, Holly Springs, N.C.",468,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n468,1,132,Male,USA,North America
"Alger, Nellie (Estep)","Alger, Nellie (Estep)","Alger, Nellie (Estep)  FOR INFORMATION ABOUT THIS COLLECTION OR ADDITIONS TO THIS COLLECTION, PLEASE ASK A STAFF MEMBER TO CONSULT THE COLLECTION  MANAGEMENT SYSTEM.",1844-1910,1844,1910,,471,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n471,1,133,Female,Unknown,Unknown
"Alhaiza, Jean-Adolphe","Alhaiza, Jean-Adolphe","Alhnaiza, Jean-Adolphe Papers, 1870-1916 Paris, France 287 items  10-D Recataloged, 12-10-69",1870-1916,1870,1916,"Paris, France",475,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n475,1,135,Male,USA,North America
"Allen, A. T.","Allen, A. T.","Allen, A. T.  Diary, 1843-1844  Recataloged as: Anonymous  Diary, 1843-1844",1843-1844,1843,1844,,486,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n486,1,139,Unknown,Unknown,Unknown
"Allen, C. Tacitus","Allen, C. Tacitus","Allen, C. Tacitus  Memoirs, 1893-1919  Lunenburg Co., Virginia 169 pp. Leather and Boards 34 x 204 cm. 11-9-64",1893-1919,1893,1919,Virginia,487,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n487,1,140,Male,USA,North America
"Allen, Charles Harris","Allen, Charles Harris","Allen, Charles Harris  Papers, 1893-1902  London, England XVIII-&  2-1-68",1893-1902,1893,1902,London,499,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n499,1,141,Male,USA,North America
"Allen, David B","Allen, David B","Allen, David B. Papers, 1844-1847 Oxford, Granville Co;, N. C.  Section A 2 items  8-1-59",1844-1847,1844,1847,,503,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n503,1,142,Male,Unknown,Unknown
"Allen, Ethan Augustus","Allen, Ethan Augustus","Allen, Ethan Augustus Letter Book, 1818-1835  Norfolk, Virginia",1818-1835,1818,1835,"Norfolk, Virginia",507,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n507,1,144,Male,USA,North America
"Allen, Gay Wilson","Allen, Gay Wilson","e 2nd 903K-L, OCSIsilil,y 2nd 65 S 24:G:1-5( 85-09 Allen, Ga? wilson.’ 1903- a . Letters, 1990-1995- 30 itemse University professor, author, and Whitman scholare Letters to Carl Anderson, an emeritus professor at Duke Universitye  Unprocessed collectione Cataloged from accession recordse  Addition to Gay Wilson Allen Papers, 1801-1988 & nede  *hab  1-e Anderson, Carle 2e Duke ‘University--Facultye Je College  teacherse 3  NcD 18981201 #40421951 NDHYme",1990-1995,1990,1995,,509,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n509,1,146,Female,Unknown,Unknown
"Allen, George Garland","Allen, George Garland","Allen, George Garlande  Papers, 1923-1960.  19 itemse  Businessman and Duke University alumnuse  Bound copy of Afro-American poet Plato Te Durham's poem in memory of Angier Be Duke, AVE ATQUE VALE, FRATER! s album of photographs of James Be Duke's funeral; illuminated, lLeather-— bound testimonials to Mre Allen; album of the dedication of the Allen Plant; college diplomas from Duke, Furman, and Davidson; a manuscript of John We Jenkins’ JAMES Be DUKE, MASTER BUILDER; and a copy of GEORGE GARLAND ALLEN, A LIFE TO BE HO NORED, written by Michael Durha @= and commissioned by Lucy Burwell Allen Fowlkes and Mary  28 NOV 94 31526895 NDHYme SEE NEXT CRD",1923-1960,1923,1960,"Angier Be Duke, Mre Allen",515,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n515,1,147,Male,USA,North America
"Allen, James","Allen, James","Cc  Allen, James 5105-5108  Daybooks, 1838-1843 Grafton County, WN. H.  12-14-53  (See also bound vol. cards)",1838-1843,1838,1843,Grafton County,519,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n519,1,149,Male,USA,North America
"Allen, James","Allen, James","Allen, .James Daybook, 1838-1839 Grafton County, N. H. 216 pp. Boards 65 x 15 1-2 cm.  12-14-53",1838-1839,1838,1839,Grafton County,520,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n520,1,150,Male,USA,North America
"Allen, James","Allen, James","Allen, James  Daybook, 1841-1842  Grafton County, N. H. 280 pp. Boards 55 x 16 1-2 cm, 12-14-53  ACIND",1841-1842,1841,1842,Grafton County,521,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n521,1,151,Male,USA,North America
"Allen, James","Allen, James","Allen, James  Daybook, 1842-1843  Grafton County, N. H. 256 pp. Boards 38 1-2 x 16 cm. 12-14-53  vy TIrAr- € ot J) )F",1842-1843,1842,1843,Grafton County,522,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n522,1,152,Male,USA,North America
"Allen, James","Allen, James","Allen, James wae Papers, 1889-19211 Cincinnati, Ohio  Section A ; 12 items AUG 4 » 11 items added 3-30-51 be 33 items added 9-20-55  GUIDE",1885-1911,1885,1911,"Cincinnati, Ohio",524,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n524,1,154,Male,USA,North America
"Allen, James Lane","Allen, James Lane","Allen, James Lane. Papers, 1891-1906. Cincinnati, Ohio. 3G items. Sketch     Eleven letters and a telegram from James Lane Allen (1849-1925). All of these letters but one were written to Joseph Marshall Stoddart, editor of Lippincott's Magazine from 1886 to 1894. They are mainly concerned with Allen's writings about Ky. and the publication of such writings.  A telegram to J. P. Lippincott and Co.  from Allen accepting their offer for the",1891-1906,1891,1906,"Cincinnati, Ohio, Ky.",525,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n525,1,155,Male,USA,North America
"Allen, James Walkinshaw","Allen, James Walkinshaw","; -30 Allen, James Walkinshaw mM  Notebook. 1848,- 15°  Mt.Prospect, Nem Bedford Co., Virginia Feb. 17, 1936,  [Allen was also a student at Virginia Mili- tary Institute.)",1848-1864,1848,1864,"Notebook, Mt.Prospect, Virginia",529,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n529,1,156,Male,USA,North America
"Allen, John","Allen, John","Allen, John  Papers, 1814-1881  Fincastle, Botetourt Co., Va. Section A 24 items  2-14-62",1814-1881,1814,1881,,530,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n530,1,157,Male,Unknown,Unknown
"Allen, John","Allen, John","Allen, John  Papers, 1853-1884  Hunsucker's Store, Montgomery Co., section A 1 vol.  6-12-63",1853-1884,1853,1884,,533,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n533,1,158,Male,Unknown,Unknown
"Allen, John","Allen, John","Allen, John Letters. 1864-1885. Franklin County, N . C.  Section A 39 pieces  NOV5 1933  NOV5 1934 e",1864-1885,1864,1885,"Franklin County, N",535,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n535,1,159,Male,USA,North America
"Allen, Nathaniel","Allen, Nathaniel","Allen, Nathaniel. Poo gtr 1851-1921.  itemse  Letters, legal and financial papers, and prices current bulletins (1866- 1867) for agricultural products from Petersburg; Vae Correspondents include Nathaniel Allen, Marie Allen (his first wife), Mattie Harper (his second wife), and Edward Tuck, whose correspondence from Paris dominates the collection after 1897- Includes information on courtship, marriage, family life, and agriculture, particularly cultivation of cottone  Unprocessed collectione Cataloged teem a record  PJ  29 NOV 94 31526815 NDHYme SEE NEXT CRD",1851-1921,1851,1921,Paris,538,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n538,1,160,Male,USA,North America
"Allen, Oscar H.","Allen, Oscar H.","Allen, Oscar H,. Papers, 1898-1899 Nebraska  Section A 2 items 1 item added, 4-5-66 46-64",1898-1899,1898,1899,,540,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n540,1,161,Male,Unknown,Unknown
"Allen, R. Alfred","Allen, R. Alfred","Allen, R. Alfred. Papers, 1864-1866 New London, Huron Co., Ohio  Section A. 1 volume  5-22-69 Puctocopics OF ENTIRE WOOL LME AVAILAR",1864-1866,1864,1866,"London, Ohio",544,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n544,1,162,Male,USA,North America
"Allen, Richard","Allen, Richard","OcL.c Paced Bf Allen, Richard a 3%  Day Book and Account Book 1839-1874 Keysville, Va.  2 vols.  {See following cards for seperate items] Records of a country merchant woh operated on a small scale,",1839-1874,1839,1874,"Keysville, Va.",547,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n547,1,163,Male,USA,North America
"Allen, Richard","Allen, Richard","Allen, Richard  Account Book, {Keysville, Va.] 294 pp. Calf.  AUG 3.0 1940  1839-1864,  32 x 20 cm,",1839-1864,1839,1864,"Keysville, Va.",548,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n548,1,164,Male,USA,North America
"Allen, Richard","Allen, Richard","Allen, Richard  Day Book. 1840-1874, Keysville, [Va.] . 311 pp. Calf. 40 x 16 cm,  AUG 3 0 1940",1840-1874,1840,1874,"Keysville, Va.",549,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n549,1,165,Male,USA,North America
"Allen, W. A.","Allen, W. A.","ca  Ledgers, 1872 - 1879 Opossum Trot, Anson Co., N. C. 2 vols,  2-9-61",1872 - 1879,1872,1879,,550,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n550,1,166,Male,Unknown,Unknown
"Allen, W. A.","Allen, W. A.","Allen, W. A. Ledger, 1873 - 1879 Opossum Trot, Anson Co., N. C. 404pp. Calf 314 x 20 om 2-9=61",1873 - 1879,1873,1879,,553,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n553,1,168,Male,Unknown,Unknown
"Allen, Weld Noble","Allen, Weld Noble","Allen, Weld Noble  Papers, 1852-1873 Maine  Section A  GUIDE  25 items",1852-1873,1852,1873,,554,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n554,1,169,Male,Unknown,Unknown
"Allen, William C.","Allen, William C.","Allen, William C. Letters. 1857 - 1866. Haywood County, Tenre ssee.  Section A 7? pieces. JUL 14 1744",1857 - 1866,1857,1866,Haywood County,563,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n563,1,170,Male,USA,North America
"Allen, William Richard","Allen, William Richard","Allen, William Richard, 1924-  Letters, 1951-1987-  150 itemse  Economics professore  Photocopies of Letters chiefly from Joseph Spengler to William Richard Allen, a professor of economics at UCLAe, relating to their similar interests as economics prefessors, and to their mutual acquaintancese  Unprocessed collectione Cataloged from accession recorde  ¥*pJj  le Spengler, Joseph John, 1902-— 2e Economics teachers-—-Correspondencee 3e Economics--Study and teaching-—  United States @ e  06 JUN 95 32604599 NDHYme",1951-1987,1951,1987,,566,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n566,1,171,Male,Unknown,Unknown
Allen-Angier Family,Allen-Angier Family,"Allen-Angier Family Papers, 1843-1971  Durham, Durham Co., N. C. & Washington, D. C. 15-A €~becked—Gaerel 1743 items & 8 vols.  l item added, 7-15-72 5-9-72 4 items added, 6-474 l item added, 7-24-75",1843-1971,1843,1971,,567,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n567,1,172,Org.,Unknown,Unknown
Alliance for Guidance of Rural Youth.,Alliance for Guidance of Rural Youth.,"Alliance for Guidance of Rural Youthe Records, 1887-1963, 1914-1946 (bulk)e cae 15,900 items (21-2 linear fte )eo Vocational guidance service  organization originally created as the  Virginia Bureau of Vocations for Women  (1914-1921) and later known as the  Southern Woman's Educational Alliance  (1921-1937 )e Disbanded in 1963. Official administrative records,  chiefly 1914-1946, of pioneer  vocational guidance organization established by Virginia educator Orie  Latham Hatcher, which targeted  America's rural youth populatione  Includes records of predecessor  organizations es the Virginia Bureau  of Vocations @::: Women and the  Southern Woma n's Educational  07 JUL 88 18183059 NDHYme SEE NEXT CRD",1887-1963,1887,1963,"Virginia, America",586,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n586,1,174,Org.,USA,North America
"Allison, Elizabeth Beatty","Allison, Elizabeth Beatty","Allison, Elizabeth Beatty (Johnston) Papers, 1866-1969 Turnersburg, Iredell Co., N. C,.  Section A 16 items  11-30-71",1866-1969,1866,1969,,594,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n594,1,176,Female,Unknown,Unknown
"Allison, Martin","Allison, Martin","Allison, Martin 0; and John. Letters and Papers, 1777-1846. Chenango co., N.Y.  Section A AUG 30 “48 7 Atems. yen as item added 4-3-51 GUING 1 m adde",1777-1846,1777,1846,N.Y.,597,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n597,1,177,Male,USA,North America
"Allison, William H.","Allison, William H.","ALLISON, William H. Letters. 1851-1860. Richmond, Virginia  Section A ""8 pieces  JUL 12 1937",1851-1860,1851,1860,"Richmond, Virginia",600,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n600,1,178,Male,USA,North America
